model,precision,recall,f1_score
Z-score,0.6379746835443038,0.75,0.6894664842681258
One-Class SVM,0.21450151057401812,0.2113095238095238,0.2128935532233883
Local Outlier Factor,0.14583333333333334,0.14583333333333334,0.14583333333333334
Isolation Forest,0.07142857142857142,0.07142857142857142,0.07142857142857142
